"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-CHK-002..004 — Empty field rejection.","157","TC-CHK-002: Empty first-name field is rejected on checkout","tests","Wed Jun 10 20:37:51 CST 2026","passed","Wed Jun 10 20:37:51 CST 2026","","test_checkout","",""
"TC-CHK-002..004 — Empty field rejection.","161","TC-CHK-004: Empty postal-code field is rejected on checkout","tests","Wed Jun 10 20:39:04 CST 2026","passed","Wed Jun 10 20:39:04 CST 2026","","test_checkout","",""
"TC-INV-001..003 — Product listing, data integrity, images.","40","TC-INV-001: Inventory page displays exactly 6 products after login","tests","Wed Jun 10 20:39:57 CST 2026","passed","Wed Jun 10 20:39:57 CST 2026","","test_inventory","",""
"
Data-driven login test.

Each JSON entry drives one test case.  The *tc* dict carries
id, title, story, severity, tags, username, password, and
optionally expected_error (for negative cases).
","26513","TC-LOGIN-002: Wrong password is rejected with a descriptive error","tests","Wed Jun 10 20:44:48 CST 2026","passed","Wed Jun 10 20:45:14 CST 2026","","test_login","",""
"Checkout button is visible and enabled when cart has items.","22247","TC-CART-005: Checkout button is visible and enabled when cart has items","tests","Wed Jun 10 20:36:38 CST 2026","passed","Wed Jun 10 20:37:01 CST 2026","","test_cart","",""
"TC-INV-007 — Badge increments with each item added.","100","TC-INV-007: Cart badge increments as items are added","tests","Wed Jun 10 20:43:01 CST 2026","passed","Wed Jun 10 20:43:01 CST 2026","","test_inventory","",""
"
Data-driven login test.

Each JSON entry drives one test case.  The *tc* dict carries
id, title, story, severity, tags, username, password, and
optionally expected_error (for negative cases).
","32674","TC-LOGIN-004: Empty password triggers 'Password is required' error","tests","Wed Jun 10 20:45:40 CST 2026","passed","Wed Jun 10 20:46:13 CST 2026","","test_login","",""
"TC-INV-008 — Add → Remove returns badge to zero.","88","TC-INV-008: Adding then removing same item resets cart count to zero","tests","Wed Jun 10 20:44:27 CST 2026","passed","Wed Jun 10 20:44:27 CST 2026","","test_inventory","",""
"Cart badge survives navigating to cart and back.","198076","TC-CART-003: Cart badge count survives navigation away and back","tests","Wed Jun 10 20:33:05 CST 2026","broken","Wed Jun 10 20:36:23 CST 2026","","test_cart","",""
"TC-INV-001..003 — Product listing, data integrity, images.","55","TC-INV-002: Every product tile has a non-empty name and price > $0","tests","Wed Jun 10 20:40:27 CST 2026","passed","Wed Jun 10 20:40:27 CST 2026","","test_inventory","",""
"TC-INV-006 — Badge is hidden when cart is empty.","11","TC-INV-006: Cart badge is hidden when no items are in cart","tests","Wed Jun 10 20:42:50 CST 2026","passed","Wed Jun 10 20:42:50 CST 2026","","test_inventory","",""
"DDT-driven cart tests: display, removal, empty, button.","34892","TC-CART-001: Cart page displays all items added from inventory","tests","Wed Jun 10 20:31:43 CST 2026","passed","Wed Jun 10 20:32:18 CST 2026","","test_cart","",""
"TC-CHK-005 — Cancel returns to cart without side effects.","85","TC-CHK-005: Cancel on checkout form returns to cart without changes","tests","Wed Jun 10 20:39:25 CST 2026","passed","Wed Jun 10 20:39:25 CST 2026","","test_checkout","",""
"DDT-driven cart tests: display, removal, empty, button.","13812","TC-CART-004: Navigating to cart without adding items shows empty cart","tests","Wed Jun 10 20:32:46 CST 2026","passed","Wed Jun 10 20:33:00 CST 2026","","test_cart","",""
